Subject,Profit,Role,endowment,choice,Belief,TimeCQ,CountCQ,SVO,Studium,Semesterzahl,Alter,Geschlecht,Session
190,7.7,0,11,5,0,4,2,0.324717904737717,Medizintechnik,1,21,0,6
193,7.7,0,11,5,0,9,0,0.785398163397448,Wirtschaftsingenieurswesen,1,21,0,7
194,11.62,0,11,1,0,3,0,0.14635633385322,Zahmedizin,5,21,0,7
195,19.7,1,19,1,1,3,0,-0.136402604400947,Wirtschaftliche Fakultät /Wirtschatfswissenschaften,6,22,1,7
196,20,1,19,1,0,6,0,0.136402604400947,Pharmazie,1,19,1,7
197,17.36,1,19,3,0,3,0,0.608689307327412,Biogeowissenschaften FSU Jena,6,19,1,7
198,12,0,11,1,0,3,0,0.136402604400947,Master BWL,1,23,1,7
199,15.52,1,19,5,0,3,0,0.403174558436699,Soziologie,3,22,0,7
200,9.7,0,11,3,0,11,0,0.654191491000836,Medizin,1,20,1,7
201,15.7,1,19,5,0,3,0,0.509592264808926,Philosophische Fakultät/ Germanistik,1,19,1,7
202,11.7,0,11,1,0,3,0,0.654191491000836,Wirtschaftswissenschaften,1,23,1,7
203,17.26,1,19,3,0,3,0,0.873011137418918,wirtschaftswissenschaft,1,20,1,7
204,17.26,1,19,3,0,3,0,0.654191491000836,Wirtschaftspädagigik,1,27,1,7
205,7.5,0,11,5,0,3,0,0.608689307327412,Wirtschaftswissenschaften/Wirtschaftspädagogik,1,22,1,7
206,19.88,1,19,1,1,3,0,0.265543833971881,Soziologie,5,28,0,7
207,11.7,0,11,1,0,3,1,0.136402604400947,Biochmie,1,21,1,7
208,11.7,0,11,1,0,3,0,0.136402604400947,Wirtschaftswissenschaften,1,21,0,7
209,9.74,0,11,3,1,9,0,0.46901428377495,Politikwissenschaft,3,21,1,7
210,10.3,0,11,1,1,3,0,0.364871016933143,FSU-Jena Geowissenschaften/Chemie-Chemie,1,22,0,7
211,11,0,11,1,0,3,1,0.136402604400947,Betriebswirtschaftslehre,1,20,1,7
212,9.16,0,11,3,0,5,0,1.05889646252827,BWL,1,26,0,7
213,15,1,19,5,0,3,0,0.608689307327412,-,-,26,0,7
214,14.72,1,19,5,0,5,0,0.515925513465285,Ernährungswissenschaften,3,20,1,7
215,11.7,0,11,1,0,3,0,0.85650315804985,Zahnmedizin,5,22,0,7
216,19.7,1,19,1,0,3,0,0.39004807226345,Anglistik/Amerikanistik,1,20,1,7
217,15.7,1,19,5,0,3,1,0.608689307327412,Medizin,1,21,0,7
218,19.76,1,19,1,0,3,0,0.630401421473507,Wirtschaftswissenschaften,1,19,0,7
219,7.36,0,11,5,0,3,0,0.549738226935052,Medizin,5,28,1,7
220,15.5,1,19,5,0,11,0,0.654191491000836,Chemie,1,19,0,7
221,9.12,0,11,3,0,5,0,0.60554466360497,Physikalische Technik,1,23,0,7
222,18.3,1,19,1,0,3,1,0.609326385177089,Wirtschaftswissenschaften,1,19,1,7
225,12,0,11,1,0,3,0,0.198167760468595,politikwissenschaften und erziehungswissenschaften,5,22,1,8
226,19.7,1,19,1,0,3,0,0.314038625024124,"Verhalten, Erziehungswissenschaften",1,20,1,8
227,19.7,1,19,1,0,3,1,-0.136402604400947,Gestaltung,7,25,0,8
228,11.7,0,11,1,1,7,0,0.181255531821597,Medizin,9,23,1,8
229,11.7,0,11,1,0,3,0,0.46901428377495,Sozial- und Verhaltenswissenschaften / Kommunikationswissenschaf,1,19,1,8
